word,category,emoji,difficulty
шия,Повний рандом,🎲,easy
брова,Повний рандом,🎲,easy
школа,Повний рандом,🎲,easy
урок,Повний рандом,🎲,easy
перерва,Повний рандом,🎲,easy
домашнє завдання,Повний рандом,🎲,easy
іспит,Повний рандом,🎲,easy
оцінка,Повний рандом,🎲,easy
портфель,Повний рандом,🎲,easy
підручник,Повний рандом,🎲,easy
дошка,Повний рандом,🎲,easy
крейда,Повний рандом,🎲,easy
робота,Повний рандом,🎲,easy
офіс,Повний рандом,🎲,easy
зарплата,Повний рандом,🎲,easy
начальник,Повний рандом,🎲,easy
колега,Повний рандом,🎲,easy
нарада,Повний рандом,🎲,easy
договір,Повний рандом,🎲,easy
компанія,Повний рандом,🎲,easy
бізнес,Повний рандом,🎲,easy
гроші,Повний рандом,🎲,easy
будинок,Повний рандом,🎲,easy
квартира,Повний рандом,🎲,easy
кухня,Повний рандом,🎲,easy
ванна,Повний рандом,🎲,easy
вітальня,Повний рандом,🎲,easy
спальня,Повний рандом,🎲,easy
балкон,Повний рандом,🎲,easy
підвал,Повний рандом,🎲,easy
горище,Повний рандом,🎲,easy
двір,Повний рандом,🎲,easy
дерево,Повний рандом,🎲,easy
квітка,Повний рандом,🎲,easy
трава,Повний рандом,🎲,easy
корінь,Повний рандом,🎲,easy
гілка,Повний рандом,🎲,easy
насіння,Повний рандом,🎲,easy
сад,Повний рандом,🎲,easy
город,Повний рандом,🎲,easy
врожай,Повний рандом,🎲,easy
вогонь,Повний рандом,🎲,easy
вода,Повний рандом,🎲,easy
земля,Повний рандом,🎲,easy
повітря,Повний рандом,🎲,easy
камінь,Повний рандом,🎲,easy
пісок,Повний рандом,🎲,easy
глина,Повний рандом,🎲,easy
метал,Повний рандом,🎲,easy
дерево (матеріал),Повний рандом,🎲,easy
скло,Повний рандом,🎲,easy
коло,Повний рандом,🎲,easy
квадрат,Повний рандом,🎲,easy
трикутник,Повний рандом,🎲,easy
прямокутник,Повний рандом,🎲,easy
зірка (форма),Повний рандом,🎲,easy
серце (форма),Повний рандом,🎲,easy
лінія,Повний рандом,🎲,easy
крапка,Повний рандом,🎲,easy
куб,Повний рандом,🎲,easy
куля,Повний рандом,🎲,easy
один,Повний рандом,🎲,easy
два,Повний рандом,🎲,easy
три,Повний рандом,🎲,easy
сім,Повний рандом,🎲,easy
десять,Повний рандом,🎲,easy
сто,Повний рандом,🎲,easy
тисяча,Повний рандом,🎲,easy
половина,Повний рандом,🎲,easy
пара,Повний рандом,🎲,easy
дюжина,Повний рандом,🎲,easy
червоний,Повний рандом,🎲,easy
синій,Повний рандом,🎲,easy
жовтий,Повний рандом,🎲,easy
зелений,Повний рандом,🎲,easy
чорний,Повний рандом,🎲,easy
білий,Повний рандом,🎲,easy
рожевий,Повний рандом,🎲,easy
фіолетовий,Повний рандом,🎲,easy
помаранчевий,Повний рандом,🎲,easy
коричневий,Повний рандом,🎲,easy
телефонний дзвінок,Повний рандом,🎲,easy
будильник,Повний рандом,🎲,easy
душ,Повний рандом,🎲,easy
зубна щітка,Повний рандом,🎲,easy
мило,Повний рандом,🎲,easy
рушник,Повний рандом,🎲,easy
праска,Повний рандом,🎲,easy
пилосос,Повний рандом,🎲,easy
холодильник,Повний рандом,🎲,easy
плита,Повний рандом,🎲,easy
чашка,Повний рандом,🎲,easy
тарілка,Повний рандом,🎲,easy
виделка,Повний рандом,🎲,easy
ложка,Повний рандом,🎲,easy
ніж,Повний рандом,🎲,easy
каструля,Повний рандом,🎲,easy
сковорідка,Повний рандом,🎲,easy
стакан,Повний рандом,🎲,easy
серветка,Повний рандом,🎲,easy
скатертина,Повний рандом,🎲,easy
м'яч для гольфу,Повний рандом,🎲,easy
лук і стріли,Повний рандом,🎲,easy
шахи,Повний рандом,🎲,easy
доміно,Повний рандом,🎲,easy
карти,Повний рандом,🎲,easy
пазл,Повний рандом,🎲,easy
лялька,Повний рандом,🎲,easy
скакалка,Повний рандом,🎲,easy
повітряний змій,Повний рандом,🎲,easy
Новий рік,Повний рандом,🎲,easy
Різдво,Повний рандом,🎲,easy
Великдень,Повний рандом,🎲,easy
весілля,Повний рандом,🎲,easy
іменини,Повний рандом,🎲,easy
випускний,Повний рандом,🎲,easy
канікули,Повний рандом,🎲,easy
відпустка,Повний рандом,🎲,easy
подорож,Повний рандом,🎲,easy
екскурсія,Повний рандом,🎲,easy
гітара,Повний рандом,🎲,easy
піаніно,Повний рандом,🎲,easy
скрипка,Повний рандом,🎲,easy
барабан,Повний рандом,🎲,easy
труба,Повний рандом,🎲,easy
флейта,Повний рандом,🎲,easy
мікрофон,Повний рандом,🎲,easy
навушники,Повний рандом,🎲,easy
колонка,Повний рандом,🎲,easy
диск,Повний рандом,🎲,easy
кіт нявкає,Повний рандом,🎲,easy
собака гавкає,Повний рандом,🎲,easy
корова мукає,Повний рандом,🎲,easy
качка крякає,Повний рандом,🎲,easy
півень співає,Повний рандом,🎲,easy
жаба квакає,Повний рандом,🎲,easy
змія шипить,Повний рандом,🎲,easy
бджола дзижчить,Повний рандом,🎲,easy
вовк виє,Повний рандом,🎲,easy
лев рикає,Повний рандом,🎲,easy
дощова крапля,Повний рандом,🎲,easy
сніжинка,Повний рандом,🎲,easy
хмаринка,Повний рандом,🎲,easy
промінь сонця,Повний рандом,🎲,easy
хвиля,Повний рандом,🎲,easy
піщинка,Повний рандом,🎲,easy
травинка,Повний рандом,🎲,easy
пелюстка,Повний рандом,🎲,easy
краплина роси,Повний рандом,🎲,easy
іній,Повний рандом,🎲,easy
світло,Повний рандом,🎲,easy
темрява,Повний рандом,🎲,easy
тінь,Повний рандом,🎲,easy
відображення,Повний рандом,🎲,easy
фотографія,Повний рандом,🎲,easy
малюнок,Повний рандом,🎲,easy
картина,Повний рандом,🎲,easy
статуя,Повний рандом,🎲,easy
скульптура,Повний рандом,🎲,easy
король,Повний рандом,🎲,easy
королева,Повний рандом,🎲,easy
принцеса,Повний рандом,🎲,easy
принц,Повний рандом,🎲,easy
лицар,Повний рандом,🎲,easy
дракон,Повний рандом,🎲,easy
чарівник,Повний рандом,🎲,easy
відьма,Повний рандом,🎲,easy
фея,Повний рандом,🎲,easy
гном,Повний рандом,🎲,easy
космос,Повний рандом,🎲,easy
планета,Повний рандом,🎲,easy
ракета,Повний рандом,🎲,easy
астронавт,Повний рандом,🎲,easy
телескоп,Повний рандом,🎲,easy
комета,Повний рандом,🎲,easy
супутник,Повний рандом,🎲,easy
галактика,Повний рандом,🎲,easy
затемнення,Повний рандом,🎲,easy
метеорит,Повний рандом,🎲,easy
папуга ара,Повний рандом,🎲,easy
канарка,Повний рандом,🎲,easy
хом'як,Повний рандом,🎲,easy
морська свинка,Повний рандом,🎲,easy
черепаха,Повний рандом,🎲,easy
ящірка,Повний рандом,🎲,easy
саламандра,Повний рандом,🎲,easy
жаба,Повний рандом,🎲,easy
ропуха,Повний рандом,🎲,easy
равлик,Повний рандом,🎲,easy
дощовий черв'як,Повний рандом,🎲,easy
мурашник,Повний рандом,🎲,easy
бджолиний вулик,Повний рандом,🎲,easy
павутина,Повний рандом,🎲,easy
гніздо,Повний рандом,🎲,easy
нора,Повний рандом,🎲,easy
барліг,Повний рандом,🎲,easy
акваріум,Повний рандом,🎲,easy
тераріум,Повний рандом,🎲,easy
клітка для птахів,Повний рандом,🎲,easy
кокос,Повний рандом,🎲,easy
ананас,Повний рандом,🎲,easy
персик,Повний рандом,🎲,easy
абрикос,Повний рандом,🎲,easy
слива,Повний рандом,🎲,easy
вишня,Повний рандом,🎲,easy
черешня,Повний рандом,🎲,easy
малина,Повний рандом,🎲,easy
смородина,Повний рандом,🎲,easy
аґрус,Повний рандом,🎲,easy
гарбуз,Повний рандом,🎲,easy
огірок,Повний рандом,🎲,easy
помідор,Повний рандом,🎲,easy
перець солодкий,Повний рандом,🎲,easy
баклажан,Повний рандом,🎲,easy
капуста,Повний рандом,🎲,easy
морква,Повний рандом,🎲,easy
буряк,Повний рандом,🎲,easy
картопля,Повний рандом,🎲,easy
часник (город),Повний рандом,🎲,easy
кетчуп,Повний рандом,🎲,easy
майонез,Повний рандом,🎲,easy
гірчиця (соус),Повний рандом,🎲,easy
соєвий соус,Повний рандом,🎲,easy
оцет,Повний рандом,🎲,easy
олія,Повний рандом,🎲,easy
борошно,Повний рандом,🎲,easy
дріжджі,Повний рандом,🎲,easy
желатин,Повний рандом,🎲,easy
крохмаль,Повний рандом,🎲,easy
регбол,Повний рандом,🎲,easy
стрибки у висоту,Повний рандом,🎲,easy
стрибки в довжину,Повний рандом,🎲,easy
метання списа,Повний рандом,🎲,easy
штовхання ядра,Повний рандом,🎲,easy
гімнастика,Повний рандом,🎲,easy
аеробіка,Повний рандом,🎲,easy
йога,Повний рандом,🎲,easy
пілатес,Повний рандом,🎲,easy
бокс,Повний рандом,🎲,easy
воротар,Повний рандом,🎲,easy
захисник,Повний рандом,🎲,easy
нападник,Повний рандом,🎲,easy
півзахисник,Повний рандом,🎲,easy
запасний гравець,Повний рандом,🎲,easy
капітан команди,Повний рандом,🎲,easy
вболівальник,Повний рандом,🎲,easy
трибуна,Повний рандом,🎲,easy
роздягальня,Повний рандом,🎲,easy
розминка,Повний рандом,🎲,easy
клавіатура,Повний рандом,🎲,easy
мишка комп'ютерна,Повний рандом,🎲,easy
монітор,Повний рандом,🎲,easy
процесор,Повний рандом,🎲,easy
материнська плата,Повний рандом,🎲,easy
відеокарта,Повний рандом,🎲,easy
оперативна пам'ять,Повний рандом,🎲,easy
жорсткий диск,Повний рандом,🎲,easy
操作 система,Повний рандом,🎲,easy
браузер,Повний рандом,🎲,easy
вай-фай,Повний рандом,🎲,easy
блютуз,Повний рандом,🎲,easy
сім-карта,Повний рандом,🎲,easy
павербанк,Повний рандом,🎲,easy
чохол для телефону,Повний рандом,🎲,easy
захисне скло,Повний рандом,🎲,easy
бездротова зарядка,Повний рандом,🎲,easy
розумний годинник,Повний рандом,🎲,easy
фітнес-браслет,Повний рандом,🎲,easy
дрон,Повний рандом,🎲,easy
меблевий магазин,Повний рандом,🎲,easy
антикварна крамниця,Повний рандом,🎲,easy
книгарня,Повний рандом,🎲,easy
аптека,Повний рандом,🎲,easy
супермаркет,Повний рандом,🎲,easy
ринок,Повний рандом,🎲,easy
кіоск,Повний рандом,🎲,easy
хлібзавод,Повний рандом,🎲,easy
молокозавод,Повний рандом,🎲,easy
м'ясокомбінат,Повний рандом,🎲,easy
скакалка дитяча,Повний рандом,🎲,easy
м'яч футбольний,Повний рандом,🎲,easy
бадмінтонна ракетка,Повний рандом,🎲,easy
дартс,Повний рандом,🎲,easy
більярд,Повний рандом,🎲,easy
боулінг,Повний рандом,🎲,easy
настільний хокей,Повний рандом,🎲,easy
йо-йо,Повний рандом,🎲,easy
спінер,Повний рандом,🎲,easy
повітряний змій дитячий,Повний рандом,🎲,easy
пожежна машина,Повний рандом,🎲,easy
швидка допомога,Повний рандом,🎲,easy
поліцейська машина,Повний рандом,🎲,easy
евакуатор,Повний рандом,🎲,easy
сміттєвоз,Повний рандом,🎲,easy
трактор,Повний рандом,🎲,easy
комбайн,Повний рандом,🎲,easy
екскаватор,Повний рандом,🎲,easy
бульдозер,Повний рандом,🎲,easy
кран будівельний,Повний рандом,🎲,easy
будівельна каска,Повний рандом,🎲,easy
рукавиці робочі,Повний рандом,🎲,easy
молоток,Повний рандом,🎲,easy
викрутка,Повний рандом,🎲,easy
дриль,Повний рандом,🎲,easy
пилка,Повний рандом,🎲,easy
цвяхи,Повний рандом,🎲,easy
шурупи,Повний рандом,🎲,easy
рулетка вимірювальна,Повний рандом,🎲,easy
рівень будівельний,Повний рандом,🎲,easy
акварель,Повний рандом,🎲,easy
гуаш,Повний рандом,🎲,easy
олівці кольорові,Повний рандом,🎲,easy
фломастери,Повний рандом,🎲,easy
пластилін,Повний рандом,🎲,easy
глина для ліплення,Повний рандом,🎲,easy
полотно,Повний рандом,🎲,easy
мольберт,Повний рандом,🎲,easy
пензлик,Повний рандом,🎲,easy
палітра,Повний рандом,🎲,easy
настільна лампа,Повний рандом,🎲,easy
торшер,Повний рандом,🎲,easy
люстра,Повний рандом,🎲,easy
свічка,Повний рандом,🎲,easy
ліхтарик,Повний рандом,🎲,easy
гірлянда новорічна,Повний рандом,🎲,easy
ялинка,Повний рандом,🎲,easy
прикраса на ялинку,Повний рандом,🎲,easy
снігова баба,Повний рандом,🎲,easy
санчата,Повний рандом,🎲,easy
пляж,Повний рандом,🎲,easy
замок з піску,Повний рандом,🎲,easy
надувний матрац,Повний рандом,🎲,easy
рушник пляжний,Повний рандом,🎲,easy
сонцезахисний крем,Повний рандом,🎲,easy
купальник,Повний рандом,🎲,easy
плавки,Повний рандом,🎲,easy
маска для дайвінгу,Повний рандом,🎲,easy
ласти,Повний рандом,🎲,easy
рятувальний круг,Повний рандом,🎲,easy
похід у гори,Повний рандом,🎲,easy
намет,Повний рандом,🎲,easy
спальний мішок,Повний рандом,🎲,easy
рюкзак туристичний,Повний рандом,🎲,easy
компас,Повний рандом,🎲,easy
багаття,Повний рандом,🎲,easy
казанок,Повний рандом,🎲,easy
вудка,Повний рандом,🎲,easy
гачок риболовний,Повний рандом,🎲,easy
наживка,Повний рандом,🎲,easy
зимова куртка,Повний рандом,🎲,easy
шапка вовняна,Повний рандом,🎲,easy
снігові рукавиці,Повний рандом,🎲,easy
лижні палиці,Повний рандом,🎲,easy
санки,Повний рандом,🎲,easy
ковзани фігурні,Повний рандом,🎲,easy
хокейна ключка,Повний рандом,🎲,easy
сноуборд,Повний рандом,🎲,easy
термос,Повний рандом,🎲,easy
гарячий чай,Повний рандом,🎲,easy
весільна сукня,Повний рандом,🎲,easy
обручка,Повний рандом,🎲,easy
букет нареченої,Повний рандом,🎲,easy
весільний торт,Повний рандом,🎲,easy
весільна церемонія,Повний рандом,🎲,easy
медовий місяць,Повний рандом,🎲,easy
річниця весілля,Повний рандом,🎲,easy
заручини,Повний рандом,🎲,easy
алея закоханих,Повний рандом,🎲,easy
валентинка,Повний рандом,🎲,easy
мультфільм,Повний рандом,🎲,easy
коміксів герой,Повний рандом,🎲,easy
супергерой,Повний рандом,🎲,easy
лиходій,Повний рандом,🎲,easy
чарівна паличка,Повний рандом,🎲,easy
плащ-невидимка,Повний рандом,🎲,easy
летючий килим,Повний рандом,🎲,easy
чарівне дзеркало,Повний рандом,🎲,easy
золота рибка,Повний рандом,🎲,easy
джин з лампи,Повний рандом,🎲,easy
пряник,Повний рандом,🎲,easy
цукрова вата,Повний рандом,🎲,easy
попкорн,Повний рандом,🎲,easy
чіпси,Повний рандом,🎲,easy
горіхи,Повний рандом,🎲,easy
насіння соняшника,Повний рандом,🎲,easy
родзинки,Повний рандом,🎲,easy
курага,Повний рандом,🎲,easy
халва,Повний рандом,🎲,easy
пастила,Повний рандом,🎲,easy
сирник,Повний рандом,🎲,easy
штрудель,Повний рандом,🎲,easy
безе,Повний рандом,🎲,easy
еклер,Повний рандом,🎲,easy
тірамісу,Повний рандом,🎲,easy
чізкейк,Повний рандом,🎲,easy
вафлі,Повний рандом,🎲,easy
оладки,Повний рандом,🎲,easy
пампушки,Повний рандом,🎲,easy
коржики,Повний рандом,🎲,easy
чай зелений,Повний рандом,🎲,easy
кава з молоком,Повний рандом,🎲,easy
какао гаряче,Повний рандом,🎲,easy
компот,Повний рандом,🎲,easy
морс,Повний рандом,🎲,easy
лимонад,Повний рандом,🎲,easy
мінеральна вода,Повний рандом,🎲,easy
сік яблучний,Повний рандом,🎲,easy
смузі,Повний рандом,🎲,easy
коктейль молочний,Повний рандом,🎲,easy
пилка для нігтів,Повний рандом,🎲,easy
манікюрні ножиці,Повний рандом,🎲,easy
гребінець,Повний рандом,🎲,easy
фен для волосся,Повний рандом,🎲,easy
плойка,Повний рандом,🎲,easy
бритва,Повний рандом,🎲,easy
пінка для гоління,Повний рандом,🎲,easy
одеколон,Повний рандом,🎲,easy
парфуми,Повний рандом,🎲,easy
тональний крем,Повний рандом,🎲,easy
валіза на колесах,Повний рандом,🎲,easy
паспорт,Повний рандом,🎲,easy
квиток на потяг,Повний рандом,🎲,easy
посадковий талон,Повний рандом,🎲,easy
митниця,Повний рандом,🎲,easy
дьюті-фрі,Повний рандом,🎲,easy
готельний номер,Повний рандом,🎲,easy
ресепшн,Повний рандом,🎲,easy
гід туристичний,Повний рандом,🎲,easy
путівник,Повний рандом,🎲,easy
веселий клоун,Повний рандом,🎲,easy
циркова арена,Повний рандом,🎲,easy
акробат,Повний рандом,🎲,easy
жонглер,Повний рандом,🎲,easy
дресирувальник,Повний рандом,🎲,easy
фокусник,Повний рандом,🎲,easy
канатоходець,Повний рандом,🎲,easy
цирковий намет,Повний рандом,🎲,easy
повітряна гімнастка,Повний рандом,🎲,easy
дресирований лев,Повний рандом,🎲,easy
дитячий садок,Повний рандом,🎲,easy
вихователька,Повний рандом,🎲,easy
нянька,Повний рандом,🎲,easy
колиска,Повний рандом,🎲,easy
пелюшка,Повний рандом,🎲,easy
соска,Повний рандом,🎲,easy
візочок дитячий,Повний рандом,🎲,easy
іграшковий ведмедик,Повний рандом,🎲,easy
лялька-пупс,Повний рандом,🎲,easy
конструктор дитячий,Повний рандом,🎲,easy
пошта,Повний рандом,🎲,easy
поштар,Повний рандом,🎲,easy
посилка,Повний рандом,🎲,easy
штамп,Повний рандом,🎲,easy
листоноша,Повний рандом,🎲,easy
поштова скринька,Повний рандом,🎲,easy
телеграма,Повний рандом,🎲,easy
листівка вітальна,Повний рандом,🎲,easy
марка поштова,Повний рандом,🎲,easy
бандероль,Повний рандом,🎲,easy
бібліотекар,Повний рандом,🎲,easy
читальний зал,Повний рандом,🎲,easy
формуляр книги,Повний рандом,🎲,easy
полиця з книгами,Повний рандом,🎲,easy
закладка для книги,Повний рандом,🎲,easy
обкладинка,Повний рандом,🎲,easy
зміст книги,Повний рандом,🎲,easy
сторінка,Повний рандом,🎲,easy
абзац,Повний рандом,🎲,easy
розділ книги,Повний рандом,🎲,easy
пекар,Повний рандом,🎲,easy
булочна,Повний рандом,🎲,easy
тісто,Повний рандом,🎲,easy
качалка для тіста,Повний рандом,🎲,easy
форма для випічки,Повний рандом,🎲,easy
духовка,Повний рандом,🎲,easy
